pair,stem_width,stem_height,first_flower_day,fruits_number,fruit_length,fruit_diameter,fruit_weight,seeds_number,yield
ind_7_ind_106,0.987,0.7087,0.4151,0.9912,0.1426,0.861,0.2229,0.4613,0.5976
ind_7_ind_107,0.9481,0.6496,0.7925,0.992,0.1723,0.9424,0.2964,0.5765,0.6063
ind_7_ind_108,0.9117,0.689,0.566,0.9912,0.1426,0.861,0.2229,0.4613,0.5976
ind_7_ind_109,0.7792,0.6142,0.7547,0.9944,0.1161,0.9695,0.2433,0.5708,0.624
ind_7_ind_110,0.9169,0.6693,0.3396,0.9912,0.1426,0.861,0.2229,0.4613,0.5976
ind_7_ind_111,0.7818,0.5748,0.8302,0.9912,0.1426,0.861,0.2229,0.4613,0.5976
ind_7_ind_112,0.9766,0.7795,0.6038,0.9912,0.1426,0.861,0.2229,0.4613,0.5976
ind_7_ind_113,0.8519,0.6102,0.9245,0.9992,0.1268,0.8407,0.1955,0.4464,0.6446
ind_7_ind_114,0.761,0.4567,0.566,0.992,0.166,0.9288,0.2433,0.486,0.6042
ind_8_ind_9,0.9584,0.8268,1.0,0.9984,0.9307,0.7254,0.6391,0.9208,0.7787
ind_8_ind_10,0.9429,0.8189,0.8491,0.9992,0.9255,0.9492,0.9133,0.934,0.9939
ind_8_ind_11,0.9351,0.9134,0.9434,0.9992,0.918,0.9085,0.8319,0.803,0.9649
ind_8_ind_12,0.9766,0.8583,0.9623,0.996,0.7773,0.7525,0.7051,0.8002,0.9343
ind_8_ind_13,0.961,0.8425,0.9245,0.9968,0.9853,0.6441,0.7042,0.7747,0.7365
ind_8_ind_14,0.9714,1.0,0.9602,0.996,0.7496,0.8339,0.7201,0.9925,0.7094
ind_8_ind_15,0.9377,0.9055,0.9602,0.9944,0.9386,0.8305,0.6913,0.9387,0.6181
ind_8_ind_16,0.9351,0.7717,0.9245,0.9944,0.899,0.8644,0.9045,0.7756,0.8375
ind_8_ind_17,0.9143,0.9528,0.9245,0.9968,0.8594,0.8034,0.8664,0.9246,0.9324
ind_8_ind_18,0.9714,0.8819,0.9245,0.9984,0.8019,0.7119,0.7373,0.8756,0.8254
ind_8_ind_19,0.9325,0.9055,0.9245,1.0,0.9386,0.939,0.8885,0.8869,0.9558
ind_8_ind_20,0.961,0.9213,0.9245,0.9984,0.9109,0.9864,0.8293,0.934,0.8691
ind_8_ind_21,0.9039,0.811,0.7736,0.9976,0.9057,0.9322,0.7588,0.9423,0.8586
ind_8_ind_22,0.9351,0.9528,0.9245,0.9976,0.9802,0.9898,0.9513,0.9868,0.9004
ind_8_ind_23,0.9299,0.9055,1.0,0.9992,0.9853,0.9627,0.9871,0.8831,0.9808
ind_8_ind_24,1.0,0.937,0.9245,1.0,0.8728,0.7797,0.8061,0.8228,0.9232
ind_8_ind_25,0.8442,0.6693,0.9623,0.996,0.9453,0.8644,0.7394,0.8567,0.8242
ind_8_ind_26,0.9377,0.811,0.6981,0.9928,0.9505,0.922,0.9933,0.7549,0.7814
ind_8_ind_27,0.9377,0.8583,0.9811,0.9944,0.9255,0.8847,0.8468,0.9423,0.8444
ind_8_ind_28,0.9325,0.9528,0.9811,0.9928,0.8883,0.7627,0.7758,0.9076,0.6076
ind_8_ind_29,0.9377,0.8661,0.9434,1.0,0.9358,0.9831,0.8965,0.7907,0.959
ind_8_ind_30,0.8312,0.8583,0.9245,0.9944,0.9802,0.8915,0.9071,0.9736,0.7635
ind_8_ind_31,1.0,0.937,0.9811,0.9968,0.9604,0.9492,0.9094,0.8737,0.8503
ind_8_ind_32,0.9766,0.9843,0.7736,0.9984,0.916,0.9322,0.9513,0.9736,0.9272
ind_8_ind_33,0.9636,0.9685,0.9602,0.9928,0.7999,0.7559,0.6166,0.8266,0.4877
ind_8_ind_34,0.9221,0.9606,1.0,0.996,0.9521,0.739,0.8984,0.6814,0.8959
ind_8_ind_35,0.9065,0.9606,0.9245,0.9976,0.9406,0.8712,0.7422,0.9378,0.997
ind_8_ind_36,0.9636,0.9055,0.9811,0.9952,0.7872,0.7525,0.6891,0.8322,0.6538
ind_8_ind_37,0.9844,0.8819,0.9245,1.0,0.9497,0.9458,0.885,0.9076,0.9544
ind_8_ind_38,0.9325,0.9449,0.9434,0.996,0.7326,0.9424,0.7381,0.7756,0.7201
ind_8_ind_39,0.8597,0.6693,0.9245,0.996,0.9505,0.9085,0.8744,0.9962,0.8011
ind_8_ind_40,0.8779,0.6693,0.9811,0.9912,0.7575,0.8237,0.6201,0.7531,0.4105
ind_8_ind_41,0.5247,0.6378,0.8568,0.4696,0.2975,0.4407,0.3956,0.4114,0.6498
ind_8_ind_42,0.9896,0.6457,0.8113,0.3786,0.2952,0.4034,0.3921,0.4114,0.6563
ind_8_ind_43,0.7377,0.6614,0.8679,0.3786,0.3102,0.4305,0.3928,0.4114,0.6362
ind_8_ind_44,0.839,1.0,0.9057,0.6789,0.2971,0.4169,0.3912,0.4114,0.9546
ind_8_ind_45,0.6494,0.7953,0.7358,0.9321,0.2916,0.4,0.3882,0.4114,0.8085
ind_8_ind_46,0.4857,0.6063,0.9811,0.4369,0.29,0.4102,0.391,0.4114,0.7437
ind_8_ind_47,0.626,0.5197,0.8679,0.2284,0.3003,0.4,0.3915,0.3458,0.5371
ind_8_ind_48,0.3662,0.7559,0.8679,0.5607,0.294,0.4441,0.3903,0.4351,0.8676
ind_8_ind_49,0.8831,0.8583,0.9623,0.5471,0.2991,0.4237,0.3923,0.4102,0.8102
ind_8_ind_50,0.6883,0.6693,0.9057,0.7588,0.3078,0.3898,0.3884,0.3186,0.9392
ind_8_ind_51,0.7662,0.5748,0.8568,0.8914,0.2956,0.4102,0.3919,0.4238,0.86
ind_8_ind_52,0.5688,0.7008,0.6792,0.6933,0.2892,0.4203,0.3933,0.4125,0.9327
ind_8_ind_53,0.8078,0.4252,0.9811,0.5511,0.2968,0.3559,0.3891,0.3955,0.8869
ind_8_ind_54,0.7532,0.7953,0.717,0.6877,0.2983,0.4271,0.3933,0.4611,0.9268
ind_8_ind_55,0.6364,0.7717,0.6981,0.5,0.2932,0.4034,0.3884,0.4114,0.8639
ind_8_ind_56,0.2545,0.874,0.8679,0.73,0.3003,0.3932,0.391,0.4261,0.997
ind_8_ind_57,0.839,0.6457,0.9057,0.3762,0.2964,0.4034,0.39,0.4114,0.7227
ind_8_ind_58,0.4442,0.5984,0.8302,0.599,0.292,0.4102,0.3914,0.4114,0.8772
ind_8_ind_59,0.6182,0.9291,0.8113,0.008,0.3122,0.4,0.3933,0.4114,0.2484
ind_8_ind_60,0.9169,0.7795,0.8568,0.8634,0.3047,0.4203,0.3937,0.4114,0.8984
ind_8_ind_61,0.6468,0.4567,0.8568,0.8906,0.2805,0.4068,0.3846,0.4114,0.8189
ind_8_ind_62,0.9481,0.6929,0.7925,0.5599,0.3059,0.4339,0.3951,0.4114,0.7603
ind_8_ind_63,0.6104,1.0,0.8568,0.9768,0.2956,0.4102,0.3905,0.4114,0.7784
ind_8_ind_64,0.974,0.622,0.717,0.75,0.2956,0.4102,0.3905,0.4114,0.9736
ind_8_ind_65,0.387,0.5433,0.8568,0.9137,0.3007,0.4407,0.3868,0.4114,0.8154
ind_8_ind_66,0.6,0.5984,0.9245,0.3219,0.3055,0.4237,0.393,0.4114,0.5751
ind_8_ind_67,0.7455,0.7638,1.0,0.6478,0.2865,0.3763,0.3878,0.4114,0.9861
ind_8_ind_68,0.7844,0.6063,0.717,0.8179,0.2884,0.3966,0.3903,0.417,0.9141
ind_8_ind_69,0.8182,0.7953,0.8568,0.9936,0.2674,0.4034,0.3834,0.4046,0.7524
ind_8_ind_70,0.6623,0.8583,0.9057,0.5735,0.3003,0.4102,0.3896,0.4249,0.8924
ind_8_ind_71,0.9429,0.8425,0.8679,0.3634,0.2944,0.3932,0.3891,0.4283,0.7405
ind_8_ind_72,0.9714,0.7795,0.8302,0.3762,0.2904,0.3864,0.3884,0.4464,0.7733
ind_8_ind_73,0.6987,0.9291,0.9245,0.7125,0.3035,0.4339,0.3917,0.4215,0.9765
ind_8_ind_74,0.8701,0.6929,0.8568,0.0503,0.2868,0.4136,0.3877,0.4114,0.5577
ind_8_ind_75,0.4416,0.811,1.0,0.5511,0.2971,0.4136,0.3921,0.4114,0.8176
ind_8_ind_76,0.7195,0.5276,0.7925,0.4633,0.2971,0.3831,0.3907,0.4114,0.7731
ind_8_ind_77,0.4753,0.8425,0.9623,0.3051,0.2769,0.4034,0.3919,0.4114,0.5951
ind_8_ind_78,0.6857,0.8425,0.8302,0.5288,0.2928,0.4339,0.3917,0.4114,0.805
ind_8_ind_79,0.8753,0.7197,0.6038,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_80,0.9792,0.8543,0.8491,0.9968,0.3181,0.9695,0.489,0.4249,0.8159
ind_8_ind_81,0.9273,0.937,0.9245,0.9952,0.2777,0.9322,0.4613,0.4645,0.7656
ind_8_ind_82,0.8805,0.9843,0.9434,0.9952,0.2857,0.8102,0.4436,0.5946,0.7628
ind_8_ind_83,0.9351,0.874,0.8868,0.9936,0.3181,0.9593,0.551,0.8096,0.7657
ind_8_ind_84,0.8416,0.7323,0.3208,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_85,0.9455,0.7874,0.9245,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_86,0.9273,0.7953,0.6038,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_87,0.9714,0.9803,0.6038,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_88,0.8416,0.937,0.9434,0.9936,0.3177,0.7864,0.6217,0.5191,0.7713
ind_8_ind_89,0.8883,0.815,0.4906,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_90,0.8468,0.9724,0.9434,0.9816,0.3784,0.7661,0.6677,0.5191,0.8631
ind_8_ind_91,0.9325,0.9449,0.7547,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_92,0.8519,0.8228,0.9811,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_93,0.9896,0.9685,0.6038,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_94,0.9429,0.878,0.717,0.9944,0.313,0.9661,0.5129,0.5098,0.7682
ind_8_ind_95,0.9922,0.8425,0.4717,0.9928,0.3114,0.8271,0.4651,0.3627,0.7553
ind_8_ind_96,0.8987,0.8268,0.2264,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_97,0.9403,0.8268,0.9245,0.9952,0.3213,0.9119,0.486,0.3627,0.8231
ind_8_ind_98,0.9584,0.8244,0.6604,0.9944,0.3328,0.9729,0.5032,0.4306,0.7671
ind_8_ind_99,0.9948,0.9252,0.6415,0.9928,0.3193,0.9729,0.5058,0.4589,0.7569
ind_8_ind_100,0.987,0.9409,0.9245,0.9936,0.3209,0.8136,0.4651,0.4589,0.7589
ind_8_ind_101,0.9948,0.9488,0.8302,0.9968,0.2952,0.8746,0.4731,0.6003,0.7754
ind_8_ind_102,0.9377,0.9291,0.9245,0.9992,0.338,0.9322,0.535,0.5191,0.8093
ind_8_ind_103,0.8675,0.7402,0.7736,0.9952,0.3007,0.9017,0.4736,0.3797,0.7675
ind_8_ind_104,0.9584,0.8976,0.5472,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_105,0.8831,0.8504,0.9057,0.9936,0.3447,0.9288,0.566,0.6568,0.7669
ind_8_ind_106,0.9844,0.8268,0.4151,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_107,0.9766,0.7677,0.7925,0.9928,0.3487,0.9254,0.5925,0.6342,0.7603
ind_8_ind_108,0.9403,0.8071,0.566,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_109,0.8078,0.7323,0.7547,0.9952,0.2924,0.8373,0.5395,0.6286,0.778
ind_8_ind_110,0.9455,0.7874,0.3396,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_111,0.8104,0.6929,0.8302,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_112,0.9948,0.8976,0.6038,0.992,0.3189,0.9932,0.5191,0.5191,0.7516
ind_8_ind_113,0.8805,0.7283,0.9245,1.0,0.3031,0.9729,0.4917,0.5041,0.7986
ind_8_ind_114,0.7896,0.5748,0.566,0.9928,0.3423,0.939,0.5395,0.5437,0.7582
ind_9_ind_10,0.9844,0.6457,0.8491,0.9976,0.8562,0.7763,0.7258,0.9868,0.7848
ind_9_ind_11,0.8935,0.7402,0.9434,0.9976,0.9873,0.8169,0.8071,0.8822,0.8138
ind_9_ind_12,0.9351,0.9685,0.9623,0.9944,0.8467,0.9729,0.934,0.8794,0.7129
ind_9_ind_13,0.9974,0.9843,0.9245,0.9984,0.9453,0.9186,0.9349,0.8539,0.9578
ind_9_ind_14,0.987,0.8268,0.9602,0.9976,0.8189,0.8915,0.919,0.9283,0.9307
ind_9_ind_15,0.9792,0.7323,0.9602,0.996,0.9921,0.8949,0.9478,0.9821,0.8394
ind_9_ind_16,0.8935,0.5984,0.9245,0.9928,0.8296,0.861,0.7346,0.6964,0.6162
ind_9_ind_17,0.8727,0.874,0.9245,0.9952,0.9287,0.922,0.7726,0.9962,0.7111
ind_9_ind_18,0.987,0.9449,0.9245,1.0,0.8712,0.9864,0.9018,0.9548,0.9533
ind_9_ind_19,0.8909,0.9213,0.9245,0.9984,0.9921,0.7864,0.7505,0.8077,0.8228
ind_9_ind_20,0.9974,0.748,0.9245,1.0,0.9802,0.7119,0.8098,0.9868,0.9095
ind_9_ind_21,0.8623,0.6378,0.7736,0.996,0.8364,0.6576,0.3979,0.9786,0.6373
ind_9_ind_22,0.9766,0.874,0.9245,0.9992,0.9505,0.7356,0.6877,0.934,0.8783
ind_9_ind_23,0.8883,0.9213,1.0,0.9992,0.9453,0.7627,0.6262,0.8039,0.7979
ind_9_ind_24,0.9584,0.8898,0.9245,0.9984,0.8035,0.5051,0.4452,0.902,0.7018
ind_9_ind_25,0.8026,0.4961,0.9623,0.9944,0.876,0.5898,0.3785,0.7775,0.6028
ind_9_ind_26,0.9792,0.9843,0.6981,0.9944,0.9802,0.8034,0.6323,0.8341,0.9972
ind_9_ind_27,0.8961,0.9685,0.9811,0.9928,0.9948,0.8407,0.7923,0.9786,0.623
ind_9_ind_28,0.974,0.874,0.9811,0.9944,0.9576,0.9627,0.8632,0.9868,0.8289
ind_9_ind_29,0.8961,0.9606,0.9434,0.9984,0.9948,0.7424,0.7426,0.8699,0.8197
ind_9_ind_30,0.8727,0.9685,0.9245,0.996,0.9109,0.8339,0.732,0.8944,0.9849
ind_9_ind_31,0.9584,0.8898,0.9811,0.9984,0.9703,0.7763,0.7297,0.9529,0.9283
ind_9_ind_32,0.9351,0.8425,0.7736,1.0,0.9853,0.7932,0.6877,0.9472,0.8515
ind_9_ind_33,0.9948,0.8583,0.9602,0.9944,0.8693,0.9695,0.9775,0.9058,0.709
ind_9_ind_34,0.8805,0.8661,1.0,0.9944,0.8827,0.9864,0.7406,0.7606,0.6746
ind_9_ind_35,0.8649,0.7874,0.9245,0.996,0.9901,0.8542,0.8969,0.983,0.7757
ind_9_ind_36,0.9948,0.9213,0.9811,0.9968,0.8566,0.9729,0.9499,0.9114,0.8751
ind_9_ind_37,0.9429,0.7087,0.9245,0.9984,0.981,0.7797,0.7541,0.8284,0.8242
ind_9_ind_38,0.8909,0.8819,0.9434,0.9976,0.8019,0.7831,0.9009,0.6964,0.9415
ind_9_ind_39,0.9013,0.8425,0.9245,0.9976,0.9802,0.8169,0.7647,0.917,0.9775
ind_9_ind_40,0.9195,0.8425,0.9811,0.9928,0.8269,0.9017,0.9811,0.8322,0.6319
ind_9_ind_41,0.5662,0.811,0.8568,0.4712,0.2282,0.1661,0.0347,0.3322,0.8712
ind_9_ind_42,0.9688,0.8189,0.8113,0.3802,0.2258,0.1288,0.0311,0.3322,0.8776
ind_9_ind_43,0.7792,0.8346,0.8679,0.3802,0.2409,0.1559,0.0318,0.3322,0.8576
ind_9_ind_44,0.8805,0.8268,0.9057,0.6805,0.2278,0.1424,0.0303,0.3322,0.824
ind_9_ind_45,0.6909,0.622,0.7358,0.9337,0.2223,0.1254,0.0272,0.3322,0.5872
ind_9_ind_46,0.5273,0.7795,0.9811,0.4385,0.2207,0.1356,0.0301,0.3322,0.9651
ind_9_ind_47,0.6675,0.6929,0.8679,0.23,0.231,0.1254,0.0306,0.2666,0.7584
ind_9_ind_48,0.4078,0.9291,0.8679,0.5623,0.2246,0.1695,0.0294,0.3559,0.911
ind_9_ind_49,0.9247,0.9685,0.9623,0.5487,0.2298,0.1492,0.0313,0.3311,0.9685
ind_9_ind_50,0.7299,0.8425,0.9057,0.7604,0.2385,0.1153,0.0274,0.2394,0.7178
ind_9_ind_51,0.8078,0.748,0.8568,0.893,0.2262,0.1356,0.031,0.3446,0.6386
ind_9_ind_52,0.6104,0.874,0.6792,0.6949,0.2199,0.1458,0.0324,0.3333,0.846
ind_9_ind_53,0.8494,0.5984,0.9811,0.5527,0.2274,0.0814,0.0281,0.3163,0.8917
ind_9_ind_54,0.7948,0.9685,0.717,0.6893,0.229,0.1525,0.0324,0.382,0.8518
ind_9_ind_55,0.6779,0.9449,0.6981,0.5016,0.2239,0.1288,0.0274,0.3322,0.9148
ind_9_ind_56,0.2961,0.9528,0.8679,0.7316,0.231,0.1186,0.0301,0.3469,0.7757
ind_9_ind_57,0.8805,0.8189,0.9057,0.3778,0.227,0.1288,0.029,0.3322,0.944
ind_9_ind_58,0.4857,0.7717,0.8302,0.6006,0.2227,0.1356,0.0304,0.3322,0.9015
ind_9_ind_59,0.6597,0.8976,0.8113,0.0096,0.2429,0.1254,0.0324,0.3322,0.4697
ind_9_ind_60,0.8753,0.9528,0.8568,0.865,0.2353,0.1458,0.0327,0.3322,0.6771
ind_9_ind_61,0.6883,0.6299,0.8568,0.8922,0.2112,0.1322,0.0237,0.3322,0.5975
ind_9_ind_62,0.9065,0.8661,0.7925,0.5615,0.2365,0.1593,0.0341,0.3322,0.9816
ind_9_ind_63,0.6519,0.8268,0.8568,0.9784,0.2262,0.1356,0.0295,0.3322,0.5571
ind_9_ind_64,0.9844,0.7953,0.717,0.7516,0.2262,0.1356,0.0295,0.3322,0.7522
ind_9_ind_65,0.4286,0.7165,0.8568,0.9153,0.2314,0.1661,0.0258,0.3322,0.5941
ind_9_ind_66,0.6416,0.4252,0.9245,0.3235,0.2361,0.1492,0.032,0.3322,0.7965
ind_9_ind_67,0.7039,0.937,1.0,0.6494,0.2171,0.1017,0.0269,0.3322,0.7926
ind_9_ind_68,0.826,0.7795,0.717,0.8195,0.2191,0.122,0.0294,0.3378,0.6927
ind_9_ind_69,0.8597,0.9685,0.8568,0.992,0.1981,0.1288,0.0225,0.3254,0.5311
ind_9_ind_70,0.7039,0.9685,0.9057,0.5751,0.231,0.1356,0.0287,0.3458,0.8862
ind_9_ind_71,0.9844,0.9843,0.8679,0.365,0.225,0.1186,0.0281,0.3492,0.9619
ind_9_ind_72,0.987,0.9528,0.8302,0.3778,0.2211,0.1119,0.0274,0.3673,0.9946
ind_9_ind_73,0.7403,0.8976,0.9245,0.7141,0.2342,0.1593,0.0308,0.3424,0.8022
ind_9_ind_74,0.9117,0.8661,0.8568,0.0519,0.2175,0.139,0.0267,0.3322,0.7791
ind_9_ind_75,0.4831,0.9843,1.0,0.5527,0.2278,0.139,0.0311,0.3322,0.9611
ind_9_ind_76,0.761,0.7008,0.7925,0.4649,0.2278,0.1085,0.0297,0.3322,0.9944
ind_9_ind_77,0.5169,0.9843,0.9623,0.3067,0.2076,0.1288,0.031,0.3322,0.8164
ind_9_ind_78,0.7273,0.9843,0.8302,0.5304,0.2235,0.1593,0.0308,0.3322,0.9737
ind_9_ind_79,0.8338,0.5465,0.6038,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_80,0.9792,0.6811,0.8491,0.9984,0.2488,0.6949,0.1281,0.3458,0.5946
ind_9_ind_81,0.8857,0.7638,0.9245,0.9936,0.2084,0.6576,0.1003,0.3854,0.5442
ind_9_ind_82,0.9221,0.811,0.9434,0.9936,0.2163,0.5356,0.0826,0.5154,0.5414
ind_9_ind_83,0.9766,0.7008,0.8868,0.992,0.2488,0.7661,0.19,0.7304,0.5444
ind_9_ind_84,0.8,0.5591,0.3208,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_85,0.9039,0.6142,0.9245,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_86,0.8857,0.622,0.6038,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_87,0.987,0.8071,0.6038,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_88,0.8831,0.7638,0.9434,0.992,0.2484,0.939,0.2608,0.4399,0.55
ind_9_ind_89,0.8468,0.6417,0.4906,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_90,0.8883,0.8543,0.9434,0.9832,0.309,0.9593,0.3068,0.4399,0.9155
ind_9_ind_91,0.8909,0.7717,0.7547,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_92,0.8104,0.6496,0.9811,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_93,0.9481,0.7953,0.6038,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_94,0.9013,0.7047,0.717,0.9928,0.2437,0.7593,0.152,0.4306,0.5469
ind_9_ind_95,0.9506,0.6693,0.4717,0.9912,0.2421,0.5525,0.1042,0.2835,0.5339
ind_9_ind_96,0.8571,0.6535,0.2264,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_97,0.8987,0.6535,0.9245,0.9968,0.252,0.6373,0.1251,0.2835,0.6018
ind_9_ind_98,0.9169,0.6512,0.6604,0.9928,0.2635,0.6983,0.1423,0.3514,0.5457
ind_9_ind_99,0.9636,0.752,0.6415,0.9912,0.25,0.6983,0.1449,0.3797,0.5355
ind_9_ind_100,0.9714,0.7677,0.9245,0.992,0.2516,0.539,0.1042,0.3797,0.5376
ind_9_ind_101,0.9636,0.7756,0.8302,0.9952,0.2258,0.6,0.1122,0.5211,0.554
ind_9_ind_102,0.8961,0.7559,0.9245,0.9976,0.2686,0.7932,0.1741,0.4399,0.588
ind_9_ind_103,0.826,0.5669,0.7736,0.9936,0.2314,0.6271,0.1127,0.3005,0.5462
ind_9_ind_104,1.0,0.7244,0.5472,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_105,0.8416,0.6772,0.9057,0.992,0.2754,0.7966,0.2051,0.5777,0.5456
ind_9_ind_106,0.974,0.6535,0.4151,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_107,0.9351,0.5945,0.7925,0.9912,0.2793,0.8,0.2316,0.555,0.539
ind_9_ind_108,0.8987,0.6339,0.566,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_109,0.7662,0.5591,0.7547,0.9936,0.2231,0.8881,0.1785,0.5494,0.5566
ind_9_ind_110,0.9039,0.6142,0.3396,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_111,0.7688,0.5197,0.8302,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_112,0.9636,0.7244,0.6038,0.9904,0.2496,0.7186,0.1582,0.4399,0.5303
ind_9_ind_113,0.839,0.5551,0.9245,0.9984,0.2338,0.6983,0.1308,0.4249,0.5773
ind_9_ind_114,0.7481,0.4016,0.566,0.9912,0.273,0.7864,0.1785,0.4645,0.5369
ind_10_ind_11,0.8779,0.9055,0.9057,1.0,0.8435,0.9593,0.9186,0.8689,0.971
ind_10_ind_12,0.9195,0.6772,0.8868,0.9968,0.7029,0.8034,0.7918,0.8661,0.9282
ind_10_ind_13,0.9818,0.6614,0.9245,0.996,0.9109,0.6949,0.7909,0.8407,0.7425
ind_10_ind_14,0.9714,0.8189,0.8889,0.9952,0.6751,0.8847,0.8068,0.9416,0.7154
ind_10_ind_15,0.9948,0.9134,0.8889,0.9936,0.8641,0.8814,0.778,0.9953,0.6242
ind_10_ind_16,0.8779,0.9528,0.9245,0.9952,0.9735,0.9153,0.9912,0.7097,0.8314
ind_10_ind_17,0.8571,0.7717,0.9245,0.9976,0.7849,0.8542,0.9531,0.9906,0.9263
ind_10_ind_18,0.9714,0.7008,0.9245,0.9976,0.7274,0.7627,0.824,0.9415,0.8315
ind_10_ind_19,0.8753,0.7244,0.9245,0.9992,0.8641,0.9898,0.9752,0.8209,0.9619
ind_10_ind_20,0.9818,0.8976,0.9245,0.9976,0.8364,0.9356,0.916,1.0,0.8752
ind_10_ind_21,0.8468,0.9921,0.9245,0.9984,0.9802,0.8814,0.6722,0.9918,0.8525
ind_10_ind_22,0.9922,0.7717,0.9245,0.9968,0.9057,0.9593,0.962,0.9472,0.9065
ind_10_ind_23,0.8727,0.7244,0.8491,0.9984,0.9109,0.9864,0.9004,0.8171,0.9868
ind_10_ind_24,0.9429,0.7559,0.9245,0.9992,0.9473,0.7288,0.7194,0.8887,0.9171
ind_10_ind_25,0.787,0.8504,0.8868,0.9968,0.9802,0.8136,0.6527,0.7907,0.8181
ind_10_ind_26,0.9948,0.6299,0.5472,0.992,0.876,0.9729,0.9066,0.8209,0.7875
ind_10_ind_27,0.8805,0.6772,0.8679,0.9952,0.851,0.9356,0.9335,0.9918,0.8383
ind_10_ind_28,0.9896,0.7717,0.8302,0.992,0.8138,0.8136,0.8625,0.9736,0.6137
ind_10_ind_29,0.8805,0.685,0.7925,0.9992,0.8613,0.9661,0.9832,0.8567,0.9651
ind_10_ind_30,0.8883,0.6772,0.9245,0.9936,0.9453,0.9424,0.9938,0.9076,0.7696
ind_10_ind_31,0.9429,0.7559,0.8679,0.996,0.8859,1.0,0.9961,0.9396,0.8564
ind_10_ind_32,0.9195,0.8031,0.9245,0.9976,0.8415,0.9831,0.962,0.9604,0.9333
ind_10_ind_33,0.9792,0.7874,0.8889,0.992,0.7254,0.8068,0.7033,0.8925,0.4938
ind_10_ind_34,0.8649,0.7795,0.8491,0.9968,0.9735,0.7898,0.9851,0.7473,0.8898
ind_10_ind_35,0.8494,0.8583,0.9245,0.9984,0.8661,0.922,0.8289,0.9963,0.9909
ind_10_ind_36,0.9792,0.7244,0.8302,0.9944,0.7128,0.8034,0.7758,0.8982,0.6599
ind_10_ind_37,0.9273,0.937,0.9245,0.9992,0.8752,0.9966,0.9717,0.8416,0.9605
ind_10_ind_38,0.8753,0.7638,0.9057,0.9952,0.6581,0.9932,0.8248,0.7097,0.7262
ind_10_ind_39,0.9169,0.4882,0.9245,0.9952,0.876,0.9593,0.9611,0.9303,0.8072
ind_10_ind_40,0.9351,0.4882,0.8679,0.9904,0.683,0.8746,0.7068,0.819,0.4166
ind_10_ind_41,0.5818,0.4567,0.7058,0.4688,0.372,0.3898,0.3089,0.3455,0.6559
ind_10_ind_42,0.9532,0.4646,0.6604,0.3778,0.3697,0.3525,0.3054,0.3455,0.6624
ind_10_ind_43,0.7948,0.4803,0.717,0.3778,0.3847,0.3797,0.3061,0.3455,0.6423
ind_10_ind_44,0.8961,0.8189,0.7547,0.6781,0.3716,0.3661,0.3045,0.3455,0.9607
ind_10_ind_45,0.7065,0.9764,0.5849,0.9313,0.3661,0.3492,0.3015,0.3455,0.8024
ind_10_ind_46,0.5429,0.4252,0.8302,0.4361,0.3645,0.3593,0.3043,0.3455,0.7498
ind_10_ind_47,0.6831,0.3386,0.717,0.2276,0.3748,0.3492,0.3048,0.2798,0.5432
