SUBJECT.NAME,Obesity.BodyLength
A067304848,7.1
A067304885,7.8
A067305066,7.4
A067305333,7.2
A067305352,7.9
A067305543,7.0
A067306015,7.9
A067306302,7.3
A067306375,6.9
A067306573,8.1
A067306625,8.0
A067306626,8.2
A067306825,8.2
A067307590,7.2
A067308778,7.8
A067308813,6.4
A067309299,8.0
A067309323,7.5
A067309526,7.7
A067310358,8.1
A067310562,7.6
A067310570,7.4
A067311866,7.5
A067313019,8.1
A067316112,8.1
A067317335,7.5
A067320280,7.9
A067320288,8.0
A067320841,8.0
A067320889,7.8
A083564373,7.1
A083568891,8.4
A083583043,7.6
A083583091,7.8
A083583382,7.3
A083595329,8.2
A083609520,8.1
A083611550,7.0
A084121087,8.7
A084123535,8.2
A084124115,7.3
A084124302,8.1
A084124373,7.8
A084124633,7.5
A084124895,8.3
A084125270,7.7
A084125374,8.2
A084125523,8.6
A084125547,8.2
A084125622,7.6
A084125831,7.8
A084126009,8.4
A084126030,8.2
A084126070,8.5
A084126082,6.9
A084126103,8.5
A084126106,8.1
A084126126,8.9
A084126258,8.8
A084126295,8.9
A084126319,7.0
A084126369,8.5
A084126374,8.1
A084126549,7.6
A084126577,8.5
A084126609,8.6
A084126634,8.4
A084126638,7.8
A084126773,8.5
A084126777,7.9
A084126810,8.4
A084126813,8.4
A084126850,7.6
A084126878,7.3
A084127001,8.7
A084127009,7.9
A084127010,8.0
A084127029,8.1
A084127030,8.5
A084127033,7.5
A084127034,8.0
A084127035,8.4
A084127041,7.9
A084127055,8.4
A084127091,8.2
A084127094,7.5
A084127110,6.7
A084127121,7.3
A084127262,7.6
A084127285,8.4
A084127286,7.5
A084127294,7.5
A084127367,7.9
A084127379,7.6
A084127515,7.9
A084127546,8.0
A084127597,7.9
A084270338,8.0
A084270578,8.1
A084270587,6.5
A084270589,7.9
A084270629,7.9
A084270774,7.3
A084271009,8.1
A084271039,7.4
A084271049,7.4
A084271063,8.2
A084271100,7.9
A084271110,7.4
A084271126,8.0
A084271347,8.5
A084271369,8.2
A084271372,8.8
A084271374,7.8
A084271526,7.5
A084271554,8.1
A084271577,8.4
A084271579,8.1
A084271613,8.2
A084271615,7.7
A084271826,8.3
A084271831,8.1
A084271874,7.5
A084271877,8.3
A084271878,7.1
A084271879,8.7
A084279514,8.1
A084279557,8.2
A084279561,8.2
A084279591,7.4
A084279596,8.0
A084279598,8.2
A084279770,7.8
A084279806,7.4
A084279842,7.1
A084279851,7.6
A084280034,8.0
A084280038,7.4
A084280051,9.2
A084280063,7.8
A084280066,9.2
A084280069,8.1
A084280071,8.6
A084280094,8.4
A084280119,7.6
A084280124,7.8
A084280262,7.8
A084280274,7.4
A084280275,7.5
A084280329,9.0
A084280342,7.1
A084280362,8.3
A084280536,6.5
A084280554,7.3
A084280565,8.1
A084280571,7.8
A084280601,8.8
A084280614,8.4
A084280619,8.0
A084280626,7.9
A084280627,7.4
A084280786,8.8
A084280829,8.3
A084280832,7.8
A084280842,7.3
A084280886,8.5
A084281011,7.3
A084281018,8.3
A084281046,8.3
A084281887,7.8
A084282637,7.0
A084282869,8.9
A084284333,7.4
A084284360,7.9
A084284365,8.5
A084284533,7.2
A084284539,7.5
A084284540,8.5
A084284551,8.4
A084284561,7.8
A084284566,8.2
A084284570,8.9
A084284577,7.3
A084284635,7.6
A084284769,8.4
A084284777,7.4
A084284804,7.6
A084284823,8.1
A084284841,8.7
A084284842,7.5
A084284848,7.8
A084285001,9.2
A084285015,8.4
A084285035,8.0
A084285039,7.9
A084285095,7.8
A084285098,7.4
A084285109,7.7
A084285310,7.5
A084285327,7.9
A084285331,8.1
A084285341,7.8
A084285530,7.4
A084285552,8.0
A084285554,8.2
A084285587,8.0
A084285591,8.5
A084285629,7.6
A084285633,8.2
A084285786,8.7
A084285787,8.3
A084285812,7.5
A084285820,9.0
A084285850,8.6
A084285862,8.6
A084285891,8.0
A084286061,7.0
A084286071,8.3
A084286106,7.8
A084286107,7.9
A084286127,8.8
A084286265,6.8
A084286286,7.8
A084286350,7.6
A084286354,8.1
A084286365,8.3
A084286374,7.8
A084286378,8.9
A084286518,7.7
A084286550,7.0
A084286587,7.0
A084286598,7.3
A084286619,8.5
A084286625,7.6
A084286629,7.5
A084286771,8.5
A084286782,7.6
A084286803,7.9
A084286806,8.1
A084286862,8.6
A084286879,8.5
A084287046,7.8
A084287050,7.7
A084287053,8.0
A084287257,8.2
A084287315,7.0
A084287354,8.3
A084287516,7.8
A084287630,7.2
A084287792,7.9
A084288028,7.9
A084289027,7.6
A084290318,7.0
A084290360,8.5
A084290531,7.6
A084290788,8.8
A084291352,8.6
A084291356,8.1
A084291611,7.4
A084291618,7.9
A084291628,8.8
A084291785,8.2
A084291787,7.3
A084292044,8.6
