pair,grain.yield,grain.number,seed.size,anthesis,silking,plant.height,tassel.height,ear.height
DK78010_EZ42,0.9982,0.8586,0.7421,0.8229,0.6838,0.8205,0.7533,0.9496
DK78010_EZ47,0.834,0.9553,0.7778,0.918,0.8349,0.9662,0.9691,0.9417
DK78010_EZ48,0.9635,0.8646,0.8541,0.6407,0.4185,0.5817,0.5182,0.8807
DK78010_F04401,0.9681,0.9367,0.8819,0.9724,0.9153,0.763,0.5775,0.9459
DK78010_F04402,0.9401,0.9882,0.8408,0.9227,0.9857,0.7298,0.612,0.8654
DK78010_F04701,0.9972,0.9774,0.9767,0.8154,0.6336,0.7849,0.6794,0.9971
DK78010_F04702,0.8832,0.9135,0.9603,0.9983,0.8178,0.9485,0.8088,0.868
DK78010_F05101,0.9081,0.8707,0.9502,0.9954,0.9336,0.9333,0.8355,0.8769
DK78010_F05404,0.8281,0.7666,0.8112,0.9264,0.9161,0.9661,0.9133,0.7371
DK78010_F1808,0.9807,0.9725,0.981,0.932,0.9168,0.8042,0.8118,0.9423
DK78010_F1890,0.8924,0.8784,0.9258,0.9455,0.9038,0.9215,0.8466,0.9161
DK78010_F218,0.7113,0.7516,0.9233,0.6281,0.7508,0.9207,0.8965,0.5844
DK78010_F252,0.4848,0.644,0.5768,0.6294,0.8067,0.9694,0.9694,0.7933
DK78010_F353,0.9011,0.9433,0.8777,0.7159,0.8632,0.919,0.7983,0.7966
DK78010_F354,0.7843,0.9736,0.5245,0.9895,0.9999,0.7735,0.9017,0.6907
DK78010_F608,0.9292,0.8276,0.5458,0.9572,0.8195,0.6991,0.5247,0.8689
DK78010_F618,0.9949,0.9565,0.9471,0.9886,0.8907,0.9324,0.9051,0.7321
DK78010_F7001,0.8387,0.9792,0.611,0.8767,0.7773,0.675,0.6327,0.7215
DK78010_F7019,0.8116,0.8783,0.8463,0.7923,0.9182,0.9874,0.9626,0.9817
DK78010_F7025,0.8663,0.9701,0.8025,0.9531,0.8627,0.8893,0.6938,0.7251
DK78010_F7028,0.886,0.8534,0.503,0.9644,0.8254,0.9592,0.9742,0.7986
DK78010_F7057,0.8777,0.9654,0.6676,0.9108,0.9488,0.8959,0.9931,0.8753
DK78010_F7058,0.8273,0.9467,0.7458,0.8717,0.9181,0.9211,0.9831,0.6884
DK78010_F7081,0.8526,0.974,0.7407,0.9014,0.7807,0.8661,0.6438,0.8316
DK78010_F7082,0.7516,0.893,0.707,0.9941,0.8974,0.9008,0.9647,0.9698
DK78010_F712,0.9651,0.8412,0.6138,0.8115,0.6241,0.5186,0.3852,0.7202
DK78010_F748,0.9498,0.9188,0.7818,0.8685,0.7435,0.8428,0.7409,0.986
DK78010_F752,0.9748,0.8761,0.7711,0.6833,0.4758,0.9719,0.9216,0.9938
DK78010_F838,0.9797,0.8227,0.6257,0.6701,0.6438,0.9592,0.8321,0.9392
DK78010_F874,0.7131,0.7965,0.8699,0.5479,0.7946,0.7946,0.7947,0.7218
DK78010_F888,0.8035,0.955,0.7068,0.9455,0.7464,0.92,0.7152,0.7498
DK78010_F894,0.9809,0.8759,0.8462,0.7827,0.6668,0.7636,0.7366,0.956
DK78010_F908,0.738,0.8571,0.6711,0.7478,0.998,0.8659,0.7982,0.9309
DK78010_F912,0.9963,0.9002,0.7533,0.9881,0.9187,0.9762,0.9152,0.6854
DK78010_F918,0.9979,0.985,0.9234,0.9419,0.7362,0.8179,0.6884,0.9245
DK78010_F922,0.9134,0.9459,0.6734,0.9651,0.9749,0.7208,0.5491,0.9818
DK78010_F924,0.898,0.7612,0.7626,0.9469,0.9004,0.882,0.8025,0.8778
DK78010_F98902,0.9973,0.9102,0.8268,0.9992,0.9469,0.5669,0.4981,0.8776
DK78010_FP1,0.8402,0.9787,0.6422,0.8095,0.8759,0.8405,0.7591,0.953
DK78010_FR19,0.6717,0.788,0.7093,0.9889,0.7536,0.9359,0.7824,0.8934
DK78010_FR697,0.9395,0.9819,0.877,0.8124,0.6605,0.8608,0.7809,0.9024
DK78010_H99,0.8274,0.9458,0.8183,0.99,0.7167,0.826,0.8038,0.3423
DK78010_HMV5301,0.8753,0.9924,0.7383,0.9066,0.9686,0.6605,0.6405,0.9017
DK78010_HMV5325,0.9096,0.8372,0.8016,0.9916,0.9474,0.4899,0.3946,0.8869
DK78010_HMV5343,0.9679,0.9886,0.9861,0.9145,0.9901,0.9331,0.9613,0.8301
DK78010_HMV5347,0.9078,0.8791,0.9225,0.875,0.9748,0.9992,0.9533,0.8299
DK78010_HMV5405,0.9136,0.9586,0.9194,0.9925,0.9448,0.8556,0.8049,0.8792
DK78010_HMV5409,0.9807,0.9506,0.8549,0.9931,0.9283,0.8477,0.9355,0.6976
DK78010_HMV5422,0.741,0.5916,0.7364,0.7934,0.7961,0.34,0.3292,0.8002
DK78010_HMV5502,0.9075,0.8297,0.8535,0.7414,0.6314,0.7737,0.7274,0.7644
DK78010_I198,0.8799,0.8524,0.562,0.6045,0.3494,0.9885,0.7713,0.9995
DK78010_I233,0.9599,0.7592,0.77,0.4795,0.289,0.735,0.601,0.9349
DK78010_I238,0.9187,0.7749,0.5227,0.7474,0.6328,0.7217,0.6628,0.9861
DK78010_I242,0.8189,0.9536,0.707,0.7496,0.5697,0.8009,0.7845,0.7949
DK78010_I261,0.8337,0.9624,0.7289,0.7437,0.5539,0.935,0.9804,0.9772
DK78010_I267,0.8498,0.9973,0.7611,0.5355,0.3156,0.8039,0.8179,0.6577
DK78010_IDT,0.8601,0.8677,0.9563,0.8693,0.6189,0.9743,0.8463,0.6489
DK78010_LAN496,0.711,0.9367,0.5947,0.8234,0.5624,0.9904,0.8831,0.9705
DK78010_LH123Ht,0.9828,0.8697,0.7916,0.6198,0.528,0.742,0.6336,0.9311
DK78010_LH145,0.8828,0.9969,0.7306,0.9277,0.9022,0.9248,0.852,0.7352
DK78010_LH38,0.9534,0.9935,0.9283,0.9741,0.8324,0.8778,0.8285,0.5671
DK78010_LH39,0.9251,0.9642,0.7775,0.8188,0.9824,0.8456,0.9881,0.5916
DK78010_LH59,0.9745,0.916,0.9026,0.8231,0.6283,0.9291,0.7884,0.8036
DK78010_LH60,0.8387,0.7143,0.8934,0.7085,0.6026,0.9197,0.5783,0.8704
DK78010_LH65,0.9103,0.8472,0.9714,0.7105,0.5513,0.7942,0.4823,0.9853
DK78010_LH74,0.9272,0.9312,0.7762,0.9017,0.8484,0.9396,0.886,0.7758
DK78010_LH82,0.9883,0.7437,0.5714,0.9758,0.9767,0.9162,0.9067,0.6814
DK78010_LH93,0.8116,0.5714,0.6723,0.7544,0.6109,0.9599,0.8677,0.9475
DK78010_Lo1016,0.8105,0.6666,0.8121,0.6938,0.5889,0.6252,0.4811,0.8003
DK78010_Lo1026,0.8565,0.705,0.7737,0.9182,0.7512,0.7979,0.6251,0.9872
DK78010_Lo1035,0.8101,0.6986,0.8887,0.6582,0.5495,0.7721,0.6024,0.9831
DK78010_Lo1038,0.6489,0.3711,0.7039,0.5902,0.3878,0.7515,0.7074,0.9319
DK78010_Lo1056,0.8679,0.6974,0.792,0.5366,0.4013,0.8321,0.6577,0.9186
DK78010_Lo1063,0.9106,0.7179,0.7929,0.4926,0.5385,0.8731,0.9589,0.909
DK78010_Lo1087,0.5741,0.4545,0.9142,0.4625,0.4022,0.8483,0.6625,0.9792
DK78010_Lo1094,0.8487,0.6915,0.7362,0.7495,0.7144,0.9468,0.7902,0.8894
DK78010_Lo1095,0.7352,0.6453,0.9229,0.7235,0.5697,0.921,0.6647,0.8357
DK78010_Lo1101,0.8363,0.7312,0.8882,0.9809,0.9477,0.8557,0.6428,0.7973
DK78010_Lo1106,0.7836,0.7087,0.9246,0.7256,0.6572,0.8042,0.6432,0.9495
DK78010_Lo1123,0.9511,0.937,0.9585,0.9234,0.9155,0.9269,0.8072,0.8211
DK78010_Lo1124,0.9134,0.924,0.8937,0.7454,0.6533,0.8299,0.6618,0.7261
DK78010_Lo1172,0.8192,0.7648,0.9141,0.7614,0.7682,0.7768,0.6909,0.8705
DK78010_Lo1180,0.993,0.9145,0.8354,0.9934,0.8909,0.9463,0.9485,0.9912
DK78010_Lo1187,0.9468,0.8065,0.7923,0.8904,0.7772,0.9884,0.8401,0.9719
DK78010_Lo1199,0.7986,0.6339,0.765,0.7239,0.7115,0.685,0.612,0.9479
DK78010_Lo1203,0.7088,0.5001,0.729,0.703,0.684,0.6713,0.4827,0.9518
DK78010_Lo1223,0.6875,0.6371,0.946,0.7694,0.7255,0.6976,0.6152,0.911
DK78010_Lo1242,0.8828,0.8332,0.9847,0.8738,0.7881,0.8343,0.647,0.7131
DK78010_Lo1251,0.6554,0.5709,0.9705,0.6221,0.4952,0.7523,0.4938,0.9245
DK78010_Lo1253,0.6356,0.6185,0.9494,0.7303,0.6284,0.4722,0.4237,0.6831
DK78010_Lo1261,0.693,0.5883,0.8704,0.7373,0.6705,0.7914,0.6856,0.9267
DK78010_Lo1266,0.6872,0.6684,0.9876,0.7057,0.6869,0.7592,0.6565,0.8605
DK78010_Lo1270,0.7803,0.6754,0.8724,0.6413,0.522,0.7835,0.6022,0.8947
DK78010_Lo1273,0.8609,0.8747,0.9389,0.796,0.7614,0.9545,0.9821,0.9042
DK78010_Lo1274,0.9667,0.9528,0.9941,0.8425,0.7352,0.7637,0.4901,0.6659
DK78010_Lo1280,0.9511,0.9602,0.7335,0.8497,0.6936,0.8414,0.7009,0.8262
DK78010_Lo1282,0.7411,0.7502,0.9329,0.7674,0.5645,0.6878,0.5665,0.9882
DK78010_Lo1284,0.8991,0.9307,0.9501,0.9108,0.6876,0.8541,0.8461,0.6129
DK78010_Lo1288,0.6378,0.6314,0.9732,0.5758,0.556,0.8575,0.8678,0.9927
DK78010_Lo1290,0.8613,0.8312,0.9931,0.7444,0.6248,0.8802,0.7598,0.7413
DK78010_Lo1301,0.6688,0.4583,0.7176,0.8276,0.8195,0.9475,0.7995,0.8497
DK78010_Lo904,0.7632,0.6166,0.8321,0.8332,0.7256,0.782,0.6319,0.97
DK78010_Lp5,0.9859,0.9011,0.8262,0.9137,0.97,0.9846,0.783,0.7815
DK78010_ML606,0.9356,0.8622,0.866,0.9344,0.8407,0.9494,0.9599,0.7823
DK78010_MS153,0.7466,0.8105,0.937,0.9045,0.8393,0.9196,0.7987,0.9726
DK78010_MS71,0.7818,0.932,0.7033,0.9253,0.7144,0.9362,0.9637,0.725
DK78010_Mo15W,0.8812,0.9674,0.948,0.6243,0.3733,0.9077,0.8859,0.9785
DK78010_Mo17,0.9672,0.9804,0.9337,0.7033,0.4916,0.8512,0.7549,0.9246
DK78010_N16,0.8449,0.8282,0.4865,0.5694,0.4487,0.7519,0.6858,0.8384
DK78010_N192,0.9262,0.999,0.8536,0.8835,0.9684,0.9178,0.9829,0.6409
DK78010_N22,0.8283,0.9782,0.6659,0.7565,0.5165,0.971,0.9761,0.8886
DK78010_N25,0.6842,0.7914,0.8648,0.78,0.5052,0.8852,0.741,0.8909
DK78010_N6,0.7536,0.8927,0.7702,0.9858,0.7422,0.9619,0.9184,0.7773
DK78010_NC290,0.9521,0.8513,0.9264,0.7767,0.5489,0.8257,0.6565,0.7323
DK78010_NC358,0.9424,0.6243,0.5239,0.6212,0.398,0.786,0.8026,0.9543
DK78010_NDB8,0.6293,0.7067,0.8232,0.8538,0.9739,0.8858,0.9487,0.9403
DK78010_NK764,0.8533,0.9943,0.7248,0.8656,0.9438,0.8308,0.8758,0.5794
DK78010_NK807,0.8721,0.9613,0.8458,0.8392,0.9588,0.9425,0.8433,0.7883
DK78010_NQ508,0.9067,0.8346,0.8936,0.8994,0.759,0.8827,0.7243,0.9081
DK78010_NS701,0.9016,0.8738,0.9783,0.8344,0.7682,0.8829,0.7281,0.9922
DK78010_Oh02,0.9952,0.948,0.9067,0.5407,0.439,0.653,0.6157,0.6902
DK78010_Oh33,0.7454,0.9144,0.6208,0.9568,0.7604,0.8877,0.8803,0.7972
DK78010_Oh40B,0.8416,0.9431,0.8755,0.8883,0.6535,0.8642,0.6859,0.845
DK78010_Oh43,0.9753,0.8808,0.8164,0.9612,0.7901,0.919,0.807,0.8137
DK78010_Os426,0.7774,0.861,0.8328,0.6896,0.5295,0.6839,0.6702,0.6963
DK78010_P465P,0.9019,0.8728,0.6736,0.9479,0.6976,0.8615,0.7938,0.8996
DK78010_PB116,0.6929,0.8652,0.5983,0.9001,0.8367,0.9279,0.8027,0.961
DK78010_PB98TR,0.8245,0.9385,0.7794,0.7921,0.4959,0.6924,0.5817,0.7638
DK78010_PH207,0.9611,0.991,0.8787,0.6999,0.8967,0.9602,0.9665,0.7318
DK78010_PHB09,0.9589,0.9839,0.9988,0.916,0.7954,0.9247,0.9292,0.9398
DK78010_PHG35,0.713,0.6659,0.9204,0.6348,0.6253,0.7135,0.4899,0.9848
DK78010_PHG39,0.8566,0.8256,0.9734,0.7384,0.6865,0.7138,0.6846,0.9239
DK78010_PHG47,0.9523,0.9043,0.7249,0.8951,0.9796,0.9329,0.9576,0.5758
DK78010_PHG50,0.9731,0.8866,0.7834,0.8605,0.9572,0.9937,0.9711,0.7775
DK78010_PHG71,0.9615,0.9704,0.9222,0.8654,0.9881,0.9173,0.9083,0.7982
DK78010_PHG80,0.8955,0.8644,0.9756,0.8499,0.7732,0.9629,0.9395,0.7803
DK78010_PHG83,0.8819,0.8735,0.9742,0.9064,0.7537,0.8924,0.9027,0.7395
DK78010_PHG84,0.8759,0.7993,0.9071,0.6102,0.519,0.781,0.728,0.8704
DK78010_PHG86,0.8882,0.7721,0.7939,0.8014,0.8116,0.8247,0.7291,0.9988
DK78010_PHH93,0.8804,0.9801,0.7861,0.8426,0.99,0.9347,0.9496,0.795
DK78010_PHJ40,0.8617,0.9644,0.7962,0.8498,0.9436,0.9681,0.9936,0.7963
DK78010_PHK29,0.7592,0.6448,0.8443,0.8339,0.6136,0.8779,0.8046,0.9652
DK78010_PHK76,0.8985,0.8681,0.947,0.8618,0.8577,0.7686,0.6137,0.9075
DK78010_PHR36,0.9553,0.8068,0.7512,0.9329,0.7755,0.9307,0.9816,0.9634
DK78010_PHT77,0.9871,0.8443,0.7773,0.8995,0.7421,0.8949,0.8151,0.8436
DK78010_PHV63,0.8862,0.6907,0.6915,0.7378,0.6362,0.9417,0.9645,0.889
DK78010_PHW65,0.7581,0.7053,0.9232,0.6694,0.602,0.9519,0.8978,0.7724
DK78010_PHZ51,0.8427,0.7352,0.8313,0.7029,0.6087,0.5338,0.5017,0.8212
DK78010_Pa36,0.4259,0.6618,0.3787,0.7021,0.9211,0.8607,0.9098,0.7804
DK78010_Pa405,0.6897,0.9001,0.565,0.9809,0.7572,0.9736,0.8851,0.8437
DK78010_Pa91,0.9598,0.8739,0.9726,0.5967,0.4416,0.8257,0.7741,0.9931
DK78010_SC-Malawi,0.9947,0.979,0.9064,0.4521,0.2528,0.8511,0.7746,0.7785
DK78010_SGI061,0.8379,0.8102,0.9465,0.9106,0.8728,0.6952,0.5444,0.9542
DK78010_UH250,0.8364,0.9248,0.7604,0.6998,0.8274,0.9033,0.95,0.7336
DK78010_UH304,0.9725,0.9584,0.8346,0.753,0.8662,0.9055,0.9714,0.7238
DK78010_UH_2500,0.6041,0.8213,0.5111,0.8833,0.904,0.9494,0.9456,0.7229
DK78010_UH_6102,0.8762,0.9771,0.7886,0.7649,0.9064,0.9779,0.9654,0.7287
DK78010_UH_6179,0.8886,0.9614,0.8148,0.736,0.9194,0.8747,0.6804,0.8808
DK78010_UH_P024,0.9952,0.9694,0.9278,0.7204,0.8789,0.9242,0.7151,0.6904
DK78010_UH_P060,0.8151,0.8957,0.7805,0.7461,0.9353,0.9395,0.9944,0.6796
DK78010_UH_P064,0.9364,0.9229,0.9609,0.8451,0.9278,0.9091,0.6382,0.8852
DK78010_UH_P074,0.9003,0.9093,0.905,0.6963,0.8644,0.9767,0.9646,0.826
DK78010_UH_P087,0.7529,0.8191,0.8902,0.7156,0.8793,0.9787,0.9406,0.8526
DK78010_UH_P089,0.9364,0.9609,0.7766,0.8931,0.8802,0.9391,0.8431,0.6949
DK78010_UH_P104,0.8202,0.8832,0.7623,0.5932,0.7472,0.9238,0.9887,0.7134
DK78010_UH_P115,0.9067,0.9591,0.6536,0.8275,0.9813,0.9139,0.772,0.8989
DK78010_UH_P128,0.9328,0.9556,0.902,0.8096,0.9804,0.9885,0.918,0.8516
DK78010_UH_P148,0.9585,0.9483,0.989,0.7476,0.8891,0.9193,0.9124,0.5916
DK78010_UH_S018,0.9906,0.8075,0.6647,0.9399,0.6848,0.8728,0.8783,0.972
DK78010_UH_S020,0.9844,0.9174,0.8466,0.8179,0.7034,0.7754,0.6267,0.859
DK78010_UH_S025,0.906,0.9754,0.6885,0.8606,0.9821,0.9806,0.9125,0.7534
DK78010_Va26,0.9614,0.9072,0.8383,0.9804,0.7556,0.6327,0.5907,0.9699
DK78010_W117,0.7312,0.8047,0.7774,0.6607,0.9951,0.74,0.8587,0.5717
DK78010_W153R,0.819,0.8413,0.9517,0.7395,0.971,0.9411,0.9881,0.8071
DK78010_W182E,0.6966,0.747,0.8897,0.6359,0.8121,0.8691,0.8815,0.6491
DK78010_W23,0.6392,0.9055,0.4733,0.9893,0.791,0.6927,0.6983,0.9961
DK78010_W602S,0.8111,0.9027,0.5523,0.9386,0.7207,0.9894,0.934,0.8654
DK78010_W604S,0.8777,0.95,0.8905,0.8249,0.7393,0.902,0.7043,0.9213
DK78010_W64A,0.8581,0.9945,0.8188,0.9362,0.889,0.8991,0.956,0.693
DK78010_W9,0.6142,0.8946,0.4099,0.7467,0.9752,0.9338,0.9577,0.6649
DK78010_W95115,0.7173,0.7994,0.8006,0.9101,0.8454,0.9014,0.8958,0.6293
DK78010_Wf9,0.8371,0.945,0.864,0.9532,0.6925,0.8771,0.7522,0.8332
DK78371A_DKFAPW,0.8503,0.9956,0.6674,0.6457,0.7518,0.7109,0.6395,0.96
DK78371A_DKFBHJ,0.8179,0.8153,0.8451,0.7119,0.727,0.8405,0.7597,0.8703
DK78371A_DKIBO2,0.7673,0.7933,0.8581,0.4034,0.4974,0.846,0.7852,0.8665
DK78371A_DKMBST,0.9965,0.9249,0.8436,0.9937,0.9876,0.8896,0.9147,0.9993
DK78371A_EA1027,0.5578,0.5776,0.9414,0.9915,0.985,0.7473,0.7043,0.7809
DK78371A_EA1163,0.5106,0.6749,0.5363,0.3985,0.6077,0.9606,0.9197,0.9121
DK78371A_EA3076,0.7851,0.9254,0.7092,0.8719,0.9944,0.8737,0.9573,0.764
DK78371A_EC136,0.716,0.7639,0.8539,0.409,0.5177,0.6899,0.632,0.6691
DK78371A_EC140,0.93,0.8802,0.5787,0.5999,0.6737,0.7009,0.7371,0.8154
DK78371A_EC151,0.7839,0.9906,0.5023,0.814,0.8741,0.4928,0.4278,0.8798
DK78371A_EC169,0.772,0.9093,0.5599,0.5737,0.5535,0.4571,0.3377,0.8134
DK78371A_EC175,0.7101,0.7987,0.6425,0.6001,0.7768,0.9222,0.9951,0.9964
DK78371A_EC232,0.7566,0.7725,0.8717,0.679,0.6791,0.6606,0.5908,0.9412
DK78371A_EC242C,0.9057,0.9955,0.7033,0.3759,0.4276,0.7238,0.7308,0.725
DK78371A_EC334,0.9141,0.9957,0.7485,0.7933,0.9083,0.539,0.5028,0.7576
DK78371A_EP10,0.5381,0.6439,0.6996,0.6899,0.8124,0.5828,0.5756,0.826
DK78371A_EP2008-18,0.8723,0.8985,0.9486,0.7095,0.8118,0.8994,0.8404,0.8659
DK78371A_EP2008-22,0.802,0.8126,0.9838,0.6178,0.7083,0.6216,0.5188,0.6538
DK78371A_EP29,0.9851,0.9353,0.7618,0.663,0.6976,0.6503,0.6623,0.9011
DK78371A_EP51,0.6725,0.7669,0.8519,0.4908,0.7056,0.3968,0.3064,0.6165
DK78371A_EP52,0.8863,0.9057,0.9342,0.9295,0.9016,0.8212,0.7551,0.9038
DK78371A_EP55,0.67,0.8613,0.5199,0.7645,0.8186,0.7608,0.8668,0.8092
DK78371A_EP67,0.651,0.8327,0.5739,0.4975,0.6262,0.3802,0.3652,0.9318
DK78371A_EP72,0.5383,0.8943,0.2088,0.8576,0.9997,0.6255,0.5219,0.8835
DK78371A_EP77,0.5849,0.8195,0.4053,0.5106,0.5682,0.9759,0.8864,0.9704
DK78371A_EZ11A,0.9779,0.9354,0.916,0.9923,0.9558,0.8248,0.8857,0.695
DK78371A_EZ18,0.9185,0.9533,0.738,0.7384,0.7116,0.9155,0.8018,0.6453
DK78371A_EZ31,0.8984,0.9639,0.8663,0.9218,0.9817,0.899,0.9038,0.8636
DK78371A_EZ35,0.9443,0.9298,0.723,0.7651,0.9061,0.8418,0.9041,0.8842
DK78371A_EZ36,0.9967,0.8667,0.6314,0.9321,0.8675,0.8201,0.742,0.7701
DK78371A_EZ37,0.9032,0.967,0.8186,0.8695,0.8839,0.7981,0.6684,0.9337
DK78371A_EZ38,0.9926,0.9215,0.8277,0.9183,0.9269,0.9867,0.9832,0.744
DK78371A_EZ40,0.9666,0.8894,0.6555,0.8691,0.8262,0.7053,0.6415,0.9508
DK78371A_EZ42,0.9681,0.9098,0.6845,0.9239,0.943,0.8997,0.8823,0.9071
DK78371A_EZ47,0.8003,0.9041,0.7201,0.6649,0.792,0.754,0.6665,0.9151
DK78371A_EZ48,0.9972,0.9159,0.7964,0.8939,0.7917,0.8615,0.8826,0.7375
DK78371A_F04401,0.9983,0.9879,0.8242,0.7193,0.7115,0.9572,0.942,0.9109
DK78371A_F04402,0.9737,0.937,0.8985,0.6696,0.6411,0.9904,0.9764,0.9913
DK78371A_F04701,0.9691,0.9713,0.919,0.9314,0.9932,0.9353,0.9562,0.8539
DK78371A_F04702,0.8495,0.8623,0.9027,0.7486,0.809,0.7717,0.8268,0.9888
DK78371A_F05101,0.9418,0.922,0.8925,0.7423,0.6932,0.7869,0.8001,0.9798
DK78371A_F05404,0.8618,0.8178,0.7535,0.8205,0.7107,0.6863,0.7222,0.8803
DK78371A_F1808,0.9471,0.9212,0.9233,0.8149,0.71,0.916,0.8237,0.9145
DK78371A_F1890,0.926,0.9296,0.8681,0.8014,0.723,0.7987,0.789,0.7729
DK78371A_F218,0.6777,0.7003,0.8656,0.3749,0.3776,0.6409,0.532,0.7276
DK78371A_F252,0.4511,0.5928,0.5191,0.3763,0.4335,0.6896,0.6661,0.9366
DK78371A_F353,0.8674,0.892,0.8201,0.4628,0.49,0.8012,0.8372,0.9398
DK78371A_F354,0.7506,0.9223,0.4669,0.7574,0.6267,0.4937,0.5372,0.8339
DK78371A_F608,0.8955,0.8788,0.4882,0.7896,0.8073,0.9789,0.8891,0.9879
DK78371A_F618,0.9715,0.9922,0.8894,0.7583,0.7361,0.7878,0.7305,0.8753
DK78371A_F7001,0.8051,0.9696,0.5533,0.8701,0.8495,0.9548,0.9971,0.5783
DK78371A_F7019,0.7779,0.8271,0.7887,0.5392,0.545,0.7328,0.5982,0.875
DK78371A_F7025,0.8326,0.9188,0.7448,0.7,0.7641,0.8309,0.9418,0.8683
DK78371A_F7028,0.8523,0.9047,0.4453,0.7825,0.8014,0.6794,0.6098,0.9418
DK78371A_F7057,0.844,0.9833,0.6099,0.6577,0.678,0.6161,0.6425,0.9815
DK78371A_F7058,0.7936,0.8954,0.6881,0.6186,0.7087,0.6413,0.6187,0.8317
DK78371A_F7081,0.8189,0.9228,0.683,0.8455,0.8461,0.8541,0.9917,0.6884
DK78371A_F7082,0.7179,0.8418,0.6493,0.7409,0.7294,0.621,0.6003,0.887
DK78371A_F712,0.9314,0.8925,0.5561,0.9354,0.9973,0.7984,0.7497,0.577
DK78371A_F748,0.9162,0.97,0.7242,0.8783,0.8833,0.8774,0.8946,0.8708
DK78371A_F752,0.9412,0.9274,0.7135,0.9364,0.849,0.6922,0.7139,0.8506
DK78371A_F838,0.946,0.874,0.568,0.9233,0.983,0.761,0.8034,0.9176
DK78371A_F874,0.6794,0.7453,0.8123,0.2948,0.4214,0.5148,0.4302,0.865
DK78371A_F888,0.7698,0.9037,0.6491,0.6924,0.8804,0.8002,0.9204,0.8931
DK78371A_F894,0.9854,0.9271,0.7885,0.9641,0.9601,0.9566,0.899,0.9008
DK78371A_F908,0.7044,0.8059,0.6134,0.4947,0.6248,0.8543,0.8373,0.9258
DK78371A_F912,0.9626,0.9515,0.6956,0.735,0.7081,0.744,0.7203,0.8286
DK78371A_F918,0.9684,0.9338,0.9811,0.8049,0.8906,0.9023,0.9471,0.7813
DK78371A_F922,0.8798,0.9971,0.6158,0.712,0.6519,0.9994,0.9136,0.8749
DK78371A_F924,0.9317,0.8125,0.705,0.8,0.7264,0.8382,0.8331,0.979
DK78371A_F98902,0.969,0.9615,0.7691,0.7461,0.6799,0.8467,0.8625,0.7344
DK78371A_FP1,0.8065,0.9701,0.5845,0.5564,0.7509,0.8797,0.8764,0.8098
DK78371A_FR19,0.638,0.7368,0.6516,0.7358,0.8733,0.7843,0.8532,0.9634
DK78371A_FR697,0.9732,0.9668,0.9346,0.9345,0.9663,0.8594,0.8546,0.9543
DK78371A_H99,0.7937,0.8946,0.7607,0.7569,0.9101,0.5462,0.4394,0.4856
DK78371A_HMV5301,0.9089,0.9412,0.7959,0.6535,0.6582,0.9402,0.995,0.955
DK78371A_HMV5325,0.9433,0.8885,0.744,0.7552,0.6794,0.7697,0.7591,0.7437
DK78371A_HMV5343,0.9342,0.9602,0.9285,0.6614,0.6169,0.6533,0.6743,0.9733
DK78371A_HMV5347,0.8741,0.8278,0.9801,0.6219,0.6016,0.7194,0.6822,0.9731
DK78371A_HMV5405,0.9472,0.9902,0.9771,0.7544,0.682,0.8646,0.8307,0.9775
DK78371A_HMV5409,0.947,0.8994,0.9126,0.7399,0.6985,0.5679,0.571,0.8408
DK78371A_HMV5422,0.7747,0.6429,0.6788,0.9534,0.8307,0.6198,0.6936,0.657
DK78371A_HMV5502,0.9412,0.8809,0.7958,0.9946,0.9954,0.9465,0.9082,0.6212
DK78371A_I198,0.8463,0.9036,0.5044,0.8577,0.7226,0.7317,0.8643,0.8562
DK78371A_I233,0.9936,0.8105,0.7124,0.7326,0.6622,0.9852,0.9655,0.7917
DK78371A_I238,0.885,0.8262,0.4651,0.9995,0.994,0.9986,0.9727,0.8428
DK78371A_I242,0.7853,0.9024,0.6494,0.9973,0.9429,0.9193,0.851,0.6517
DK78371A_I261,0.8,0.9864,0.6712,0.9969,0.9271,0.6552,0.6159,0.8339
DK78371A_I267,0.8161,0.946,0.7035,0.7887,0.6887,0.9163,0.8177,0.5144
DK78371A_IDT,0.8265,0.8165,0.986,0.8776,0.9921,0.7459,0.7893,0.7921
DK78371A_LAN496,0.6773,0.8855,0.537,0.9235,0.9356,0.7298,0.7524,0.8273
DK78371A_LH123Ht,0.9491,0.921,0.7339,0.8729,0.9012,0.9782,0.998,0.7879
DK78371A_LH145,0.8491,0.9456,0.6729,0.6746,0.7246,0.645,0.7836,0.8785
DK78371A_LH38,0.9198,0.9423,0.8706,0.721,0.7944,0.598,0.464,0.7104
DK78371A_LH39,0.8914,0.9846,0.7199,0.5656,0.6444,0.5659,0.6237,0.7349
DK78371A_LH59,0.9408,0.9673,0.8449,0.9237,0.9986,0.7911,0.8471,0.9469
DK78371A_LH60,0.8724,0.7656,0.8358,0.9617,0.9758,0.8005,0.9428,0.9864
DK78371A_LH65,0.944,0.8985,0.9137,0.9636,0.9245,0.926,0.8467,0.8421
DK78371A_LH74,0.8935,0.9825,0.7186,0.8452,0.7784,0.6598,0.7496,0.919
DK78371A_LH82,0.978,0.7949,0.5138,0.7226,0.6035,0.6364,0.5422,0.8246
DK78371A_LH93,0.8452,0.6227,0.6146,0.9924,0.9841,0.6801,0.5033,0.9093
DK78371A_Lo1016,0.8442,0.7179,0.7545,0.947,0.9621,0.905,0.8455,0.657
